Land,iso2,Hotel,HotelCity,Training,TrainingCity,full_address,latitude,longitude
Belgiun,be,Les Bains de Saillon Hôtel,Saillon,Stade Saint-Laurent,Saillon,"Les Bains de Saillon Hôtel, Saillon",46.1734679,7.1252764
Denmark,dk,Hôtel Beaulac Neuchâtel,Neuchâtel,Stade des Buchilles,Boudry,"Hôtel Beaulac Neuchâtel, Neuchâtel",46.9909603,6.9353867
England,gb-eng,The Dolder Grand,Zürich,Sportanlage Au,Opfikon,"The Dolder Grand, Zürich",47.3727936,8.5733694
Finland,fi,InterContinental Genève,Geneva,Centre Sportif de Versoix,Versoix,"InterContinental Genève, Geneva",46.2242322,6.1340489
France,fr,Hotel Heiden,Heiden,Sportanlage Bützel,Staad,"Hotel Heiden, Heiden",47.445733,9.5336856
Germany,de,FIVE Zürich,Zürich,Sportzentrum Buchlern,Zürich,"FIVE Zürich, Zürich",47.3630899,8.4955772
Iceland,is,Parkhotel Gunten,Gunten,Sportplatz Zelgli,Thun,"Parkhotel Gunten, Gunten",46.7123004,7.7025678
Italy,it,Campus Hotel Hertenstein,Weggis,Thermoplan Arena,Weggis,"Campus Hotel Hertenstein, Weggis",47.0267323,8.4023246
Netherlands,nl,Belvédère Strandhotel,Spiez,Stadion Lachen,Thun,"Belvédère Strandhotel, Spiez",46.6852275,7.6869591
Norway,no,Beau-Rivage Hôtel Neuchâtel,Neuchâtel,Stade des Chézards,Colombier,"Beau-Rivage Hôtel Neuchâtel, Neuchâtel",46.9891667,6.926314
Poland,pl,SeminarHotel am Ägerisee,Unterägeri,Stadion Herti Allmend,Zug,"SeminarHotel am Ägerisee, Unterägeri",47.1374932,8.5839124
Portugal,pt,Geneva Marriott Hotel,Geneva,Stade des Arbères,Meyrin,"Geneva Marriott Hotel, Geneva",46.2212144,6.1008112
Spain,es,Royal Savoy Hôtel & Spa Lausanne,Lausanne,Stade Juan-Antonio-Samaranch,Lausanne,"Royal Savoy Hôtel & Spa Lausanne, Lausanne",46.5113676,6.6259155
Sweden,se,On Your Marks,Cham,Eizmoos,Cham,"On Your Marks, Cham",47.1924504,8.4553892
Switzerland,ch,Hotel Seepark Thun,Thun,FC Dürrenast,Thun,"Hotel Seepark Thun, Thun",46.7450371,7.6341382
Wales,gb-wls,Wellneshotel Golfpanorama,Lipperswil,Sportanlage Güttingersreuti,Weinfelden,"Wellneshotel Golfpanorama, Lipperswil",47.6217378,9.055705
